id,name,uri,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Group,group_n
4dn6rw5Ze1uWrLm1uOk1gu,Stockholm Sweetnin',spotify:track:4dn6rw5Ze1uWrLm1uOk1gu,"Scott Hamilton, Jesper Lundgaard, Jan Lundgren, Kristian Leth, ",0.838,0.602,475680,0.302,0.907,8,0.113,-11.627,1,0.0427,119.758,4.0,0.3,dinner,0
6CDQBADsdzJwc3qZ3OPDHH,Almost Like Being in Love,spotify:track:6CDQBADsdzJwc3qZ3OPDHH,"Red Garland, Paul Chambers, Art Taylor, ",0.873,0.5710000000000001,290293,0.34600000000000003,0.519,0,0.098,-12.569,0,0.0409,93.885,4.0,0.687,dinner,0
00CIFNT8kOm61dupysBFp8,Garden of Delight,spotify:track:00CIFNT8kOm61dupysBFp8,"Jan Lundgren Trio, ",0.8759999999999999,0.42700000000000005,291862,0.287,0.8740000000000001,11,0.133,-19.834,1,0.0346,104.40700000000001,4.0,0.467,dinner,0
2z6D5bIA9Wprdqi1B8nnVh,New Orleans,spotify:track:2z6D5bIA9Wprdqi1B8nnVh,"Wynton Marsalis, ",0.7140000000000001,0.644,340693,0.205,0.0482,10,0.051,-16.005,1,0.0397,118.314,4.0,0.41100000000000003,dinner,0
1ykNjOQbYJgZE3pflVB9MN,The Sequel,spotify:track:1ykNjOQbYJgZE3pflVB9MN,"Wingspan, ",0.703,0.532,482360,0.364,0.618,9,0.0602,-13.068,0,0.0297,127.166,4.0,0.271,dinner,0
3MUYNYanSRUNJTJND4BW6Z,Sun Out,spotify:track:3MUYNYanSRUNJTJND4BW6Z,"Eric Reed, ",0.82,0.49700000000000005,304413,0.365,0.8029999999999999,7,0.0846,-14.489,0,0.0476,123.47200000000001,4.0,0.213,dinner,0
7jib7AfCM6wU5KjaA6Zt5d,Let's Call the Whole Thing Off,spotify:track:7jib7AfCM6wU5KjaA6Zt5d,"Seamus Blake, Chris Cheek, ",0.679,0.491,549040,0.303,0.0797,5,0.14,-13.365,0,0.0483,142.109,4.0,0.358,dinner,0
3IUX5LP1PJrneT8YRmZ3zY,Cantaloupe Island,spotify:track:3IUX5LP1PJrneT8YRmZ3zY,"Nat Adderley, ",0.754,0.616,438133,0.395,0.00223,0,0.0789,-16.249000000000002,0,0.0307,117.99700000000001,4.0,0.599,dinner,0
0YlOfF6acp4MSxlNxcslfo,Way 'Cross Town - Originally Performed By Carl Perkins,spotify:track:0YlOfF6acp4MSxlNxcslfo,"Benny Green, Kenny Washington, Peter Washington, ",0.706,0.515,251333,0.327,0.851,6,0.10400000000000001,-15.817,1,0.0901,91.083,4.0,0.784,dinner,0
3dtrI8OOHWxMyg6EHNecdt,Gramercy Sunset,spotify:track:3dtrI8OOHWxMyg6EHNecdt,"The Hot Sardines, ",0.8859999999999999,0.466,255107,0.0753,0.927,0,0.0984,-18.864,1,0.0297,87.791,4.0,0.0877,dinner,0
